Date,SP500,cpi
2015-08-31,-1304.2195949230286,1.6439698160912997
2015-09-01,-1316.5286568303595,1.3922782220558076
2015-09-02,-1326.135389135416,1.6134998362649924
2015-09-03,-1336.1620191920058,1.8443907589806656
2015-09-04,-1349.1028721425932,2.142389733873074
2015-09-08,-1358.2083073769588,2.352067594841799
2015-09-09,-1368.0321364954248,2.5782884643624584
2015-09-10,-1373.9905527105605,2.7154974977138693
2015-09-11,-1374.6932211318467,2.731678383937691
2015-09-14,-1370.4214915585042,2.6333099812725607
2015-09-15,-1362.532155876114,2.451636180101076
2015-09-16,-1358.6189040925594,2.361522721239595
2015-09-17,-1358.43752953337,2.357346069753305
2015-09-18,-1360.6398004041428,2.408059455063494
2015-09-21,-1361.0118505584546,2.416626940144795
2015-09-22,-1358.9488249997635,2.3691200637422867
2015-09-23,-1359.670060624927,2.3857285112515285
2015-09-24,-1361.0189897791004,2.4167913404700414
2015-09-25,-1360.2963245664084,2.4001499727491478
2015-09-28,-1366.5546665016398,2.544265626357628
2015-09-29,-1370.692860396017,2.6395590002286724
2015-09-30,-1372.9965360943504,2.6926075125028603
2015-10-01,-1375.649714239123,2.988766585870877
2015-10-02,-1375.7689714767964,2.9915128140144702
2015-10-05,-1375.1291351707907,2.9767788112391713
2015-10-06,-1376.2281305833828,3.0020862239433086
2015-10-07,-1375.8260939589597,2.9928282173493983
2015-10-08,-1371.869998134533,2.9017281558034824
2015-10-09,-1368.4480450259662,2.822928209433911
2015-10-12,-1363.1123187834903,2.700058337051047
2015-10-13,-1358.4756957104764,2.593287251095859
2015-10-14,-1354.0482980024678,2.491334158555105
2015-10-15,-1347.441476673152,2.3391938018915255
2015-10-16,-1336.634344127943,2.0903296480142046
2015-10-19,-1325.953599324056,1.8443759218727394
2015-10-20,-1318.0456964377886,1.662274559415863
2015-10-21,-1311.2532117866979,1.505858790631038
2015-10-22,-1304.0301249116035,1.3395272132183607
2015-10-23,-1297.7389460482007,1.1946553984069794
2015-10-26,-1291.222110280211,1.044587208480209
2015-10-27,-1286.2191554029996,0.9293803182903275
2015-10-28,-1280.7263227213318,0.8028926350871757
2015-10-29,-1275.4048836371446,0.6803517640877601
2015-10-30,-1270.9846164327846,0.578562871139269
2015-11-02,-1263.8113990929292,0.6974549673918204
2015-11-03,-1255.5600116519304,0.5074439218875852
2015-11-04,-1249.9579201282918,0.3784402512893621
2015-11-05,-1245.1863317887846,0.2685612163284645
2015-11-06,-1240.5061498811347,0.16078706758301564
2015-11-09,-1237.0920507869778,0.08216798164448846
2015-11-10,-1232.6089514673372,-0.021067794752525515
2015-11-11,-1231.0029493509373,-0.058050440810689
2015-11-12,-1233.086677777801,-0.010066823538295466
2015-11-13,-1236.524330198191,0.06909464296043666
2015-11-16,-1237.4312291451292,0.08997850259089546
2015-11-17,-1240.281199053315,0.15560695184043993
2015-11-18,-1240.6975054020327,0.16519355835183092
2015-11-19,-1240.5632636463006,0.16210227018493129
2015-11-20,-1241.6258481618997,0.18657122115700986
2015-11-23,-1243.2825483335819,0.22472133033068076
2015-11-24,-1244.2230251534475,0.24637841346887512
2015-11-25,-1245.0128025270083,0.26456522454023457
2015-11-27,-1245.6619050009585,0.27951260649223286
2015-11-30,-1245.5312372140475,0.2765036188544343
2015-12-01,-1244.04396145495,-0.013812890658613242
2015-12-02,-1243.7219032791527,-0.021229171997219964
2015-12-03,-1243.4612476311072,-0.027231490098984068
2015-12-04,-1238.558982787692,-0.14011971343069263
2015-12-07,-1236.8537115080271,-0.1793883068683897
2015-12-08,-1235.91466427569,-0.20101246979493226
2015-12-09,-1238.482560873893,-0.14187953962286315
2015-12-10,-1240.554155240758,-0.09417534268345662
2015-12-11,-1246.0384103972542,0.032114819249812854
2015-12-14,-1250.6550541128568,0.13842582517392543
2015-12-15,-1253.9206068589988,0.21362422009602255
2015-12-16,-1255.0488826649353,0.239605894939956
2015-12-17,-1258.4922621524365,0.3188992430182225
2015-12-18,-1263.8379780736182,0.4419991554166529
2015-12-21,-1269.6564254659102,0.5759850190215445
2015-12-22,-1272.5513750792638,0.6426492505400176
2015-12-23,-1271.5038012327145,0.6185259617901977
2015-12-24,-1273.6960737077848,0.6690091063518651
2015-12-28,-1275.1649748933955,0.7028346238198253
2015-12-29,-1274.1102531092038,0.6785467340117748
2015-12-30,-1272.9862573488558,0.6526636190698127
2015-12-31,-1273.5782460576397,0.6662957984198954
2016-01-04,-1273.5600438340698,0.5568477454876302
2016-01-05,-1273.933514858913,0.5654479500475702
2016-01-06,-1277.7289389923233,0.6528481009771099
2016-01-07,-1287.0107713805198,0.8665879948903523
2016-01-08,-1295.569929839027,1.0636863203497455
2016-01-11,-1301.4169515478964,1.1983301867215914
2016-01-12,-1307.3061025038733,1.3339441956720464
2016-01-13,-1317.923997758486,1.5784506368989923
2016-01-14,-1328.0963062710364,1.8126962094747796
2016-01-15,-1340.9971743558092,2.109774422106028
2016-01-19,-1353.5060042118619,2.3978248688919166
2016-01-20,-1369.1468685690857,2.7579990832718124
2016-01-21,-1383.0267687520102,3.0776222210907633
2016-01-22,-1392.8127399519603,3.302971307201773
2016-01-25,-1402.494464583287,3.525919827391448
2016-01-26,-1410.5694635874524,3.711869040684178
2016-01-27,-1418.2324362884885,3.8883302073674315
2016-01-28,-1421.783636313435,3.970106421896162
2016-01-29,-1420.4832695502475,3.9401618762086628
2016-02-01,-1419.3687017346638,3.5984120929586254
2016-02-02,-1421.9144571601682,3.6570351613161733
2016-02-03,-1420.3255926601166,3.620447156331778
2016-02-04,-1420.781901308643,3.6309549265703254
2016-02-05,-1420.8018893830517,3.631415207334385
2016-02-08,-1422.7935053012907,3.677277679018488
2016-02-09,-1423.3019415926274,3.688985832584194
2016-02-10,-1424.5251890822458,3.7171544934396934
2016-02-11,-1430.0822921837196,3.845122181036004
2016-02-12,-1430.9606255310778,3.8653482386324924
2016-02-16,-1431.5354766235132,3.878585776908807
2016-02-17,-1428.4027360455748,3.8064457499419575
2016-02-18,-1426.6553442357997,3.766207214658664
2016-02-19,-1428.259201970907,3.8031404803993496
2016-02-22,-1427.822175320022,3.7930767315520484
2016-02-23,-1426.519664175542,3.7630828055471
2016-02-24,-1425.2864182902206,3.7346839039430506
2016-02-25,-1422.6978188238445,3.675074232901096
2016-02-26,-1417.8419632731254,3.5632547120499396
2016-02-29,-1412.2155949124926,3.4336920000527016
